Comentario
Pega duro ese tema. Y soy Colombiano salsa sabrosa con un toque de ritmo de hector lavoe no se por Que el ritmo me da esa vibra el disco. Con duro bad bunny!!
Alguien en 2100?
Como me aparece que tien 1.5 m tan pocoo
"Yo de echo me espara algo horrible de parte de Benito, pero we, me dorprendio asi 😮 , ame la canción y es una de las pocas canciones que son mis favoritas (132)"
"Dejo mi comentario para que cuando alguien se le ocurra dar un me gusta, me llegue una notificacion  y me recuerde que tengo que volver a escuchar esta joyita, y dejes de imitar la misma línea de pensamiento que hace la gente común e ignorante."
Raspacanillas
🩵
Quien el el 3333 tremil treciento trentitre ❤ vida y amor
"Perdí mi baile inolvidable y me consuela saber que escuchando esta canción me va a recordar, Vuelve por favor💔"
Primera canción que realmente me gustó
""" PENSABA Q CONTIGO IBA A ENVEJECER """
fuiste tú mi Lu 💫
La mejor canción del 2025
"Lo intente bros pero no se pudo, solo queda seguir."
"Lo mejor del género musical, la salsa"
so  cool .
debí comprar mas datos ; solo  cubanos entenderán 😂😢
Quien es team sangre
Quiero aprender a bailar salsa🗣️🔥
0:21
Temazo 🎉🎉🎉🎉🎉🎉🎉🎉
Te amo
0:00 empieza la depresión
Hola
Amo amo amo
👍🏽
Es que la nueva mamá bueno no quiero ser sobra
Que tema..va superar a despasito
Alguien en el fin del mundo?
Genialidad absoluta!! ❤
Tu 2 mejor album solo por detras de UVST
Me encanta 🎉
Alguien rn 2900
Ya casi llega a los 200 millones 🎉❤
eres el mejor benito ❤
Te amooo ❤
Hermosa cancion ❤
"2:33 no no te puedo olvidar
4:37"
0:33 0:34 0:34 0:34 0:35 0:35 0:35 0:35 0:35 0:36 0:36 0:36 0:37 0:37 0:37 0:37 0:37 0:38 0:38 0:38 0:38 0:39 0:39
mosa la canción
😊
Quien es tu baile inolvidable?❤
2:34
Quien 3000
I like that little nod to George Benson.
Yo no te he olvidado todavia. Dueleeeee
🤩😢
Padre mio te amo 💖
La intro lo es todo ❤️❤️❤️
Alguien a visto a mi amor bad bunny
"Don't understand a word, but this song fire"
Que buena
